run,tag,bytes,maps_req,reducers,stages,combiner,maps_launched,upload_s,stage1_s,final_s,total_s,map_output_records,shuffle_bytes,map_task_ms,reduce_task_ms
wx_1789500601_1255904,xlarge,2256997981,8,1,2,1,8,1.439253439,24.556534652,16.416735941,43.908649596,241297,7162247,87096,2236
wx_1789500648_1257725,xlarge,2256997981,8,1,2,1,8,1.403263762,25.510070250,16.373226488,44.855437903,241297,7162247,89112,2245
wx_1789500696_1259626,xlarge,2256997981,8,4,2,1,8,1.401905818,25.493725276,16.360163859,44.830029379,241297,7162391,91482,7786
wx_1789500744_1261667,xlarge,2256997981,8,4,2,1,8,1.399250909,24.552147526,15.364682822,42.861644237,241297,7162391,89988,7784
wx_1789500789_1263796,xlarge,2256997981,16,1,2,1,16,1.432156666,28.660722381,14.453808129,46.067965218,482593,14303079,244688,2254
wx_1789500838_1266890,xlarge,2256997981,16,1,2,1,16,1.386807499,28.659974706,15.366731293,46.940372892,482593,14303079,241642,2019
wx_1789500888_1270076,xlarge,2256997981,16,4,2,1,16,1.397973248,29.667130035,15.332088486,47.968515822,482593,14303367,254268,7907
wx_1789500939_1273497,xlarge,2256997981,16,4,2,1,16,1.442833198,29.754188467,15.332579190,48.092716994,482593,14303367,251068,11081
wx_1789500990_1277461,xlarge,2256997981,32,1,2,1,32,1.416432484,40.744368220,14.376098488,58.051623691,965185,27767461,811902,3183
wx_1789501051_1283364,xlarge,2256997981,32,1,2,1,32,1.412588379,38.917799741,15.405476897,57.270408506,965185,27767461,809552,3120
wx_1789501111_1289076,xlarge,2256997981,32,4,2,1,32,1.395182011,38.825317643,15.346920736,57.109106934,965185,27768037,852682,12280
wx_1789501171_1295722,xlarge,2256997981,32,4,2,1,32,1.442027716,41.876639464,16.035009395,61.129224751,965185,27768037,873468,17163
wx_1789501235_1302701,xlarge,2256997981,8,1,1,1,8,1.709094809,0,29.182028486,32.743272189,241297,7162247,115745,2540
wx_1789501271_1304215,xlarge,2256997981,8,4,2,0,8,1.727717908,29.223264959,15.928509674,48.684283581,241297,7162391,115712,9329
